dt,LandAverageTemperature,LandAverageTemperatureUncertainty,LandMaxTemperature,LandMaxTemperatureUncertainty,LandMinTemperature,LandMinTemperatureUncertainty,LandAndOceanAverageTemperature,LandAndOceanAverageTemperatureUncertainty
1850-01-01,0.749,1.0,8.242,1.0,-3.265,1.0,13.588,0.5
1850-02-01,1.312,1.0,9.303,1.0,-2.512,1.0,13.735,0.5
1850-03-01,2.121,1.0,10.284,1.0,-1.721,1.0,13.912,0.5
1850-04-01,4.338,1.0,13.115,1.0,1.012,1.0,14.195,0.5
1850-05-01,7.012,1.0,16.441,1.0,3.214,1.0,14.622,0.5
1850-06-01,9.483,1.0,19.338,1.0,5.783,1.0,15.021,0.5
1850-07-01,11.883,1.0,21.911,1.0,8.231,1.0,15.412,0.5
1850-08-01,11.212,1.0,21.003,1.0,7.332,1.0,15.376,0.5
1850-09-01,9.322,1.0,18.214,1.0,5.112,1.0,15.101,0.5
1850-10-01,6.214,1.0,14.312,1.0,2.914,1.0,14.742,0.5
1850-11-01,3.121,1.0,10.814,1.0,-0.432,1.0,14.201,0.5
1850-12-01,1.012,1.0,8.001,1.0,-2.811,1.0,13.742,0.5
